sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,marker_quantity,index,run_dir,batch_num
11.35,5.5,0.0,16.85,26275.71641047886,7.706598438847914e+19,121910.3882314941,4954626.086118768,5595919.172417453,0.00022,0.00018,34.849856,11.420744,True,True,100000,5,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-6cef7edd-5dff-4da7-8dc0-fce8ea1c8005,0
13.1,0.41,0.0,13.5,38466.27113465756,7.798853676181543e+19,124359.84685419295,5006199.561489698,5567620.681410784,0.0,0.0,34.849856,11.420744,True,True,1000,33,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-f0996b67-6a98-46b2-b5f0-0d2c7442dc4f,0
15.52,0.71,0.0,16.23,25639.18176131264,7.724158107167891e+19,123013.86320441903,4961602.0688538905,5587748.940445763,0.0006,0.0,34.849856,11.420744,True,True,10000,19,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-abf2a669-69b8-4e88-ae05-210e5738e760,0
14.55,1.06,0.0,15.61,25640.536774255856,7.720128872967735e+19,121068.3537901088,4969547.850802486,5597475.8491797,0.0,0.0002,34.849856,11.420744,True,True,10000,25,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-8f7fb8bf-2ff1-4f8a-a25d-840397160e48,0
14.55,5.48,0.0,20.04,29095.972421972525,7.704010675601621e+19,121977.75943587966,4954517.016404107,5585441.969207472,0.00016,0.00016,34.849856,11.420744,True,True,100000,11,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-b3a85556-0404-4218-8cea-85a067b28f5b,0
12.5,5.49,0.0,17.99,31016.6930728215,7.702136975096845e+19,121989.39090409857,4951253.282060881,5590149.1192923095,0.00022,0.00012,34.849856,11.420744,True,True,100000,35,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-78901591-1246-484c-9eb7-ec871ef72743,0
12.54,0.72,0.0,13.27,32032.775309887646,7.72832105474526e+19,123111.11389656972,4965356.052277728,5622201.426633849,0.0004,0.0004,34.849856,11.420744,True,True,10000,13,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-695cccfb-604b-41c1-ba8f-e8f8be7c3948,0
16.33,0.27,0.0,16.61,64100.567297577756,7.666747601160525e+19,117660.87751193997,4904465.649138135,5704334.847790436,0.0,0.0,34.849856,11.420744,True,True,1000,3,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-c8029049-8770-4feb-a61b-390970adc569,0
24.54,5.52,0.0,30.06,27174.884515406236,7.714355303870472e+19,122082.24899450639,4959347.571148251,5596483.158146676,0.00036,0.00024,34.849856,11.420744,True,True,100000,20,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-3cbd7d74-a7c0-4adf-a4f0-bf99b5230408,0
17.54,0.81,0.0,18.34,37162.39380394871,7.718837975699074e+19,121753.37285674344,4964942.952662148,5652074.383543585,0.0004,0.0004,34.849856,11.420744,True,True,10000,1,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-7b606e36-14b1-4218-9eb2-a93b490dba55,0
15.59,5.47,0.0,21.06,29611.7908954685,7.715190424772695e+19,122123.24489377611,4958096.860167028,5616893.170127101,0.00026,0.00026,34.849856,11.420744,True,True,100000,17,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-4e70cb7a-6a60-4bf0-8347-7cbcf94915ef,0
11.54,0.81,0.0,12.35,34614.3375268144,7.684614786027509e+19,121458.9369954878,4945923.680392813,5569471.785521631,0.0006,0.0,34.849856,11.420744,True,True,10000,28,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-80aa13f2-e357-4126-ab0d-e62dd3cea5db,0
14.01,5.48,0.0,19.48,30121.816448765978,7.712157665628362e+19,122267.88593484554,4959645.9900119,5581167.852352526,0.0001,0.00026,34.849856,11.420744,True,True,100000,23,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-cd3dc030-c42f-4a99-9cfe-210d3d396e0d,0
14.39,0.27,0.0,14.65,38455.12071513458,7.746364439234973e+19,128886.23985612854,4936578.004946498,5721368.588786399,0.0,0.0,34.849856,11.420744,True,True,1000,27,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-4658e954-bb9a-4cbf-8f6f-d316d90f94e9,0
10.75,0.28,0.0,11.03,0.0,7.532477475749279e+19,118019.32471489804,4848166.543489638,5589797.759063461,0.0,0.0,34.849856,11.420744,True,True,1000,30,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-61422ee5-a05c-4704-91c4-31595f3cbaeb,0
14.07,0.75,0.0,14.83,23075.41239634456,7.696427298434463e+19,121580.02304737005,4949866.303025304,5655201.201730521,0.0002,0.0,34.849856,11.420744,True,True,10000,34,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-6c0c58ee-2fca-4350-bac9-94572ae8e4b7,0
16.62,5.49,0.0,22.12,29224.876698738004,7.699969484717497e+19,122356.74690499324,4951844.8616734985,5589756.867024292,0.00018,0.00022,34.849856,11.420744,True,True,100000,26,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-b30b6d30-b84f-4ac3-8c6b-01d61afc69fa,0
