success,output_shine_inj1,enbi,nbar,np,hfactor,run_dir,batch_num
True,0.169297,988.95848953692,2.4109344096538634,1.3968410752799862,0.8593734906182825,./data/GPR_VIGF1/batch_1/csv_runner-1fea8e42-2dca-4346-9d50-9d19c532db05,1
True,0.016716,950.8209267832192,4.932101876303318,1.4911833415522662,1.467099392937587,./data/GPR_VIGF1/batch_2/csv_runner-9ce064d7-93be-4a1a-b23d-fe50c4b44ba1,2
True,0.014196,950.8209267832192,4.932101876303318,1.4911833415522662,1.467099392937587,./data/GPR_VIGF1/batch_2/csv_runner-57b32d18-799a-4ccf-9d94-02284fc3d9d3,2
True,0.019031,950.8209267832192,4.932101876303318,1.4911833415522662,1.467099392937587,./data/GPR_VIGF1/batch_2/csv_runner-1870f74d-51ec-4355-9247-e03ec5de9ff3,2
True,0.015748,950.8209267832192,4.932101876303318,1.4911833415522662,1.467099392937587,./data/GPR_VIGF1/batch_2/csv_runner-df272095-a521-455c-b38d-9fdbba110f13,2
True,0.016716,950.8209267832192,4.932101876303318,1.4911833415522662,1.467099392937587,./data/GPR_VIGF1/batch_2/csv_runner-3cb0f214-25aa-4cb2-8ddb-f59fe4ac5d2f,2
True,0.287445,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,./data/GPR_VIGF1/batch_3/csv_runner-4bfda864-c5fd-4d1f-8ebc-627375977e8a,3
True,0.297062,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,./data/GPR_VIGF1/batch_3/csv_runner-0481fc80-7d92-4fec-bca9-4da8065c97df,3
True,0.295378,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,./data/GPR_VIGF1/batch_3/csv_runner-87096c81-38be-4ba3-bfdb-a44a51e2cfb9,3
True,0.288762,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,./data/GPR_VIGF1/batch_3/csv_runner-629b7f80-78e8-4a1c-9846-59cb4f2f1655,3
True,0.297161,500.83035383740025,1.0931096323942693,1.4313822818704391,0.8008631437583358,./data/GPR_VIGF1/batch_3/csv_runner-54675233-b182-4f2f-883d-bf93a9d85bac,3
True,0.033256,998.5173289187863,4.468480106954079,1.1419542189320195,1.3858276057626568,./data/GPR_VIGF1/batch_4/csv_runner-bced002a-8ec4-4979-b75e-d9a898afcad7,4
True,0.033443,998.5173289187863,4.468480106954079,1.1419542189320195,1.3858276057626568,./data/GPR_VIGF1/batch_4/csv_runner-29c5f68b-92bb-48c4-aabd-51e145170066,4
True,0.032882,998.5173289187863,4.468480106954079,1.1419542189320195,1.3858276057626568,./data/GPR_VIGF1/batch_4/csv_runner-95fb85e1-7783-4d5a-9199-e5b53480c5d2,4
True,0.02988,998.5173289187863,4.468480106954079,1.1419542189320195,1.3858276057626568,./data/GPR_VIGF1/batch_4/csv_runner-2d33d1dc-3661-4562-9f72-7ad52813479b,4
True,0.029315,998.5173289187863,4.468480106954079,1.1419542189320195,1.3858276057626568,./data/GPR_VIGF1/batch_4/csv_runner-d5aa21f9-00ae-4f71-bf15-836e39c5429b,4
True,0.284795,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,./data/GPR_VIGF1/batch_5/csv_runner-b2c4ad31-820b-4124-b664-d3e4a4b780b8,5
True,0.287038,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,./data/GPR_VIGF1/batch_5/csv_runner-7b1547d4-fb8b-4163-864c-c81b15829e49,5
True,0.289672,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,./data/GPR_VIGF1/batch_5/csv_runner-9e55e418-efc3-4f9f-a620-951ddeb38fed,5
True,0.292886,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,./data/GPR_VIGF1/batch_5/csv_runner-9f6cfd7b-a710-4df7-a432-7d1534fbe9c0,5
True,0.28551,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,./data/GPR_VIGF1/batch_5/csv_runner-e679600a-706e-4186-b47c-6fe3d83c407e,5
True,0.018068,635.3793756589001,3.7235806680377377,1.4901023924493408,1.2280805241839488,./data/GPR_VIGF1/batch_6/csv_runner-220b8ba6-9dcf-4504-959a-632565428613,6
True,0.018838,635.3793756589001,3.7235806680377377,1.4901023924493408,1.2280805241839488,./data/GPR_VIGF1/batch_6/csv_runner-aaa186b0-5b2d-46ef-bec2-8b5115d5171a,6
True,0.016909,635.3793756589001,3.7235806680377377,1.4901023924493408,1.2280805241839488,./data/GPR_VIGF1/batch_6/csv_runner-27c974f6-3fd6-477a-bab3-8883bbb83a0e,6
True,0.0198,635.3793756589001,3.7235806680377377,1.4901023924493408,1.2280805241839488,./data/GPR_VIGF1/batch_6/csv_runner-64217940-c62f-4923-932c-3d4aaebd3c38,6
True,0.018453,635.3793756589001,3.7235806680377377,1.4901023924493408,1.2280805241839488,./data/GPR_VIGF1/batch_6/csv_runner-2225db02-26ef-4a96-a402-6a0c2608c794,6
True,0.018453,937.5420995270412,4.892620841644958,1.436429479387089,0.9346104753245932,./data/GPR_VIGF1/batch_7/csv_runner-8bc08fc6-3fb8-4872-840d-1ae562bb6e76,7
True,0.018646,937.5420995270412,4.892620841644958,1.436429479387089,0.9346104753245932,./data/GPR_VIGF1/batch_7/csv_runner-5e2c9ee0-a519-4d04-be31-1ec5d233dfd7,7
True,0.018453,937.5420995270412,4.892620841644958,1.436429479387089,0.9346104753245932,./data/GPR_VIGF1/batch_7/csv_runner-9ec6f266-b75e-4933-aa03-7f4e79c15a1a,7
True,0.020376,937.5420995270412,4.892620841644958,1.436429479387089,0.9346104753245932,./data/GPR_VIGF1/batch_7/csv_runner-08e9b4e3-be9b-467c-9947-26c8af2110c3,7
True,0.016522,937.5420995270412,4.892620841644958,1.436429479387089,0.9346104753245932,./data/GPR_VIGF1/batch_7/csv_runner-bdd65cf8-528a-4d9b-afe2-bd94ad4609ec,7
True,0.20115,533.5833344238835,1.488707765830639,1.0088343904999562,1.1172959415501145,./data/GPR_VIGF1/batch_8/csv_runner-26535767-ec63-464a-81db-4ad32ec443d4,8
True,0.207104,533.5833344238835,1.488707765830639,1.0088343904999562,1.1172959415501145,./data/GPR_VIGF1/batch_8/csv_runner-d99fb2e7-648c-40e9-9dfa-95a52f76538b,8
True,0.206727,533.5833344238835,1.488707765830639,1.0088343904999562,1.1172959415501145,./data/GPR_VIGF1/batch_8/csv_runner-8a1be82c-7d9f-4120-81f5-ceaab4b406f7,8
True,0.205466,533.5833344238835,1.488707765830639,1.0088343904999562,1.1172959415501145,./data/GPR_VIGF1/batch_8/csv_runner-cb4e0dee-24cc-4f63-8f4e-e2f8972bbbcc,8
True,0.201915,533.5833344238835,1.488707765830639,1.0088343904999562,1.1172959415501145,./data/GPR_VIGF1/batch_8/csv_runner-18d0a000-83e9-454e-a35c-38f5eec07f88,8
True,0.296765,633.2316587504231,1.2149810081974102,1.238938637011873,1.0918225580164196,./data/GPR_VIGF1/batch_9/csv_runner-dd396141-d101-4296-b25c-d1598acca44c,9
True,0.29972,633.2316587504231,1.2149810081974102,1.238938637011873,1.0918225580164196,./data/GPR_VIGF1/batch_9/csv_runner-5efd041a-4929-4a73-95f2-96300dc7175b,9
True,0.06068,886.006216055494,3.5113095579381493,1.186828864436855,0.8661266676430608,./data/GPR_VIGF1/batch_10/csv_runner-4106b903-6fdd-47af-8073-2b7e5618bb22,10
True,0.058558,886.006216055494,3.5113095579381493,1.186828864436855,0.8661266676430608,./data/GPR_VIGF1/batch_10/csv_runner-63be3c9a-c0ba-4200-8030-03dc55af106a,10
True,0.05321,886.006216055494,3.5113095579381493,1.186828864436855,0.8661266676430608,./data/GPR_VIGF1/batch_10/csv_runner-f03a0ef5-b8e4-47d3-b701-1ffb5f3a1ad9,10
True,0.055178,886.006216055494,3.5113095579381493,1.186828864436855,0.8661266676430608,./data/GPR_VIGF1/batch_10/csv_runner-03697fc5-2b19-450b-bac0-bacf0bf987af,10
True,0.054999,886.006216055494,3.5113095579381493,1.186828864436855,0.8661266676430608,./data/GPR_VIGF1/batch_10/csv_runner-468fcbf0-e42a-4a51-a5f6-e9b1c1e96b61,10
True,0.102011,671.1812166500271,2.3958893402164576,1.220025054116776,0.8880649128185997,./data/GPR_VIGF1/batch_11/csv_runner-1204975d-e63d-4fc8-97e0-bf53c88c654c,11
True,0.100881,671.1812166500271,2.3958893402164576,1.220025054116776,0.8880649128185997,./data/GPR_VIGF1/batch_11/csv_runner-1b08f429-7466-4f6a-b883-7a11451221e1,11
