sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
8.37,0.73,0.0,9.1,66872.99710728611,1.2795618527849832e+20,81019.97040039221,2163855.110154425,0.03744241932844116,4076071.13928796,7742633.7997712195,0.016716,0.012248,29.07547,10.068433,True,True,832.8832979314029,4.590299589559436,1.4805021504871547,0.8000732503831387,20,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-5b1e6097-37d0-43cb-8a63-7f0bacec5475,0
9.17,0.8,0.0,9.97,79273.60751880416,1.1275444685901696e+20,93122.34996543778,2051857.1224776802,0.045384422212103,3543450.7425593035,7358222.908936741,0.019223,0.017296,36.951627,10.858157,True,True,870.1483425684273,4.785627115890383,1.0680820606648922,0.8956789874471724,36,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-22066d0a-c924-480b-97d6-bc6cf3ccc34d,0
9.45,0.6,0.0,10.05,3879.803713921657,1.0055122201594344e+20,350071.24281408364,1836661.1238124662,0.19060197783651023,2510157.127585217,2332829.784784573,0.018453,0.019608,53.553346,18.041616,True,True,687.380732037127,3.695611745864153,1.4200301286764443,1.4892851150594653,34,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-1b695509-f0bd-4fb8-abb6-2b9fa868b100,0
9.89,0.71,0.0,10.6,0.0,8.35706694855184e+19,200760.97345324932,1216447.1166027244,0.16503880087605585,3425005.0279671676,3493708.745382576,0.001996,0.001797,49.576404,14.930215,True,True,640.8378649502993,5.466969669610262,1.0074612563475966,1.4095914447680116,18,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-25fb9fd6-2629-45e6-8cb0-5c0f8a8c0c10,0
10.24,0.59,0.0,10.83,73272.15535748683,1.0205770998360975e+20,165249.09700104603,2015691.3418791452,0.0819813498067572,2373440.1083029094,4775834.172569088,0.045255,0.045255,46.07699,14.093555,True,True,886.4727444015443,3.8263972721993924,1.0964063159190118,1.0555538185872138,0,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-e8fdbfc3-ee23-4c2b-bbe4-bc826b818a11,0
10.24,0.74,0.0,10.98,10175.971996820965,5.451641122999511e+19,70331.01772895057,579930.9126768527,0.12127482117536335,3524897.2434932305,3742339.2994148643,0.0002,0.0,34.805611,10.885152,True,True,580.8899598196149,7.360895725339651,1.1806419901549816,1.11417894391343,38,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-cc935c08-847a-461b-8aa7-f871c617a26e,0
11.57,0.73,0.0,12.3,22932.401624130893,1.1011044266540895e+20,190953.92048165645,1920672.3191126746,0.09942035326977308,3078400.4891514895,4264060.344975759,0.0198,0.017875,40.428234,13.44061,True,True,735.1072896271944,4.170812638476491,1.3432181640528142,1.0651263828389346,10,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-16570ee1-235e-4911-9b63-9e44b773271d,0
6.35,0.4,0.0,6.75,33569.149952756816,1.3647508319746847e+19,-4408.132978672893,151496.7105384793,-0.02909721909475554,1241249.783206406,6641083.364081092,0.0,0.0,11.524285,2.428609,True,True,590.987897478044,8.283577213436365,1.1103277327492833,0.8671856986358762,25,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3c7b37e2-034c-46f4-b790-66c9219fee07,0
6.91,0.77,0.0,7.69,25709.493207742147,5.514314458034543e+19,59745.522761317756,535624.7622657175,0.11154361592356454,4157512.0528136147,5002951.985614081,0.0,0.0,25.96794,9.458343,True,True,627.2400515154004,8.536839130148293,1.498326658271253,0.9910796358250082,13,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3a317490-a4ec-49fe-9eb4-85deeb044786,0
6.96,0.77,0.0,7.74,1875.610601619051,2.7817806677058707e+19,32494.02166835417,215097.3718085424,0.15106656764396456,2620420.0851794337,2825080.841824486,0.0,0.0,28.889228,10.165848,True,True,515.5920991674066,10.409096212685109,1.4223345601931214,1.1200257698073983,17,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-e9c1ad2c-b0ea-4bce-b256-a0f5e926f36b,0
7.3,0.28,0.0,7.58,21623.803126853825,4.02136663753493e+18,-792.0829624881807,37828.24161094286,-0.02093893156955646,554169.9170427148,5012378.125691938,0.0,0.0,10.906146,2.143763,True,True,531.3723254948854,11.657513929903507,1.025176825467497,1.0404846749268473,33,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-b2507820-f827-4865-8199-1b1154fc8ac5,0
6.43,0.79,0.0,7.22,1909.7108672641587,4.032420421168163e+19,69575.95156927365,365653.3545677258,0.1902784445982346,3874431.586264882,4129695.7146110684,0.0,0.0,37.371397,12.498663,True,True,608.8842460885644,11.147314588353039,1.2272301013581455,1.3552907864563166,9,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-95493afb-211e-454a-a711-163738c69bf0,0
6.62,0.75,0.0,7.37,292258.4095387808,1.2725081425600397e+20,232441.45683455755,1875281.9475703908,0.12395013834357439,7126105.447855095,11143479.762655469,0.001996,0.001199,36.115742,11.904729,True,True,993.4511580504477,7.8645389333367355,1.1909392578527331,1.1291626540012658,7,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-59e921a3-3b93-427d-b5df-5c74aaa8f3cf,0
7.59,0.91,0.0,8.5,216798.80074137566,9.2454099134424e+19,181269.49971063872,1153511.9096927426,0.1571457547923566,7882099.522851949,11180727.971947875,0.0,0.0002,37.601741,12.186424,True,True,948.3641204424202,11.254570000246167,1.0896733640693128,1.2699794180691242,23,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-fbc50c78-176f-43e1-bc88-0de318a544ae,0
9.99,0.32,0.0,10.31,147824.03751360776,9.841402611222194e+18,-2563.668586717954,114339.3289056644,-0.022421581543767038,1149740.7113396283,10322683.678295322,0.0,0.0,9.503174,1.914986,True,True,703.703778795898,10.664368105307222,1.0613133860751987,0.9106866127811373,5,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-b851dd9f-9462-48b9-8af5-b71441ff112d,0
9.4,0.76,0.0,10.16,25608.363779817337,4.466050730723417e+19,72613.15596284572,422052.51674492285,0.1720476790966067,4491717.060717842,5664602.008722108,0.0,0.0,31.643169,11.028308,True,True,671.9952104613185,11.96039458438754,1.3497298783622682,1.2111882707104087,29,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-ba7ab7ee-42b0-4cc8-9f30-de1068b98323,0
7.45,0.89,0.0,8.34,34352.79022200202,7.59142272832175e+19,175674.87569689925,770015.241232711,0.2281446733647282,6960078.059305843,6782694.563093838,0.0,0.0,38.753573,13.973973,True,True,770.0164304114878,11.524261057376862,1.458388369064778,1.4742333465255797,3,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-0f4c9d2d-d95e-4f5b-b8a8-bdd501e631c0,0
7.57,0.62,0.0,8.19,154375.31238032837,4.979613771211989e+19,11327.846611588897,597924.5623811274,0.01894527725450478,4073679.316797942,10117668.016486578,0.0,0.0,19.675234,5.616497,True,True,759.7538637928665,8.955097008123994,1.2231848114170134,0.8216315519995988,35,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-6f8c3aa9-df43-4482-99fd-ed34f06e0cc9,0
7.1,0.71,0.0,7.8,125237.86443171748,7.898514942064686e+19,73883.50135965468,951564.8867166239,0.07764420733786197,5834557.452092983,9385751.250916328,0.0,0.0002,25.050459,8.337929,True,True,787.2757245786488,8.628505462780595,1.3253975445404649,0.9013676378875971,19,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-fe997060-0e5e-4cce-9b40-b3aefc9bbd4c,0
8.81,0.67,0.0,9.47,351354.6760824647,8.156946578817114e+19,65483.107888151375,1002574.4002786318,0.06531496103426593,6837963.32864662,13564470.647819804,0.0,0.0002,23.442353,7.583989,True,True,917.5712582655251,9.925730661302806,1.2529456159099936,0.8600975890643895,15,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-d6ea28e3-8b76-4fe6-8153-5d0e62f20b9d,0
6.96,0.83,0.0,7.79,1550.705570315707,4.267513184068064e+19,64800.49177734142,382214.1382493128,0.16953975610152072,3454716.544101664,3233408.359704794,0.0,0.0,35.534089,11.919515,True,True,560.195273719728,9.087420307472348,1.2892407434992492,1.255362186115235,1,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-50305495-8673-4d92-9e64-67aa0ac07fe7,0
9.54,0.81,0.0,10.35,222244.4454286727,7.2219440224863216e+19,83900.88277456338,861399.0602095288,0.09740071315396505,6342586.988816324,11084831.340647485,0.0,0.0,27.825333,8.90102,True,True,864.2238066531718,10.687605604156852,1.1383847566321492,0.9983485009521247,27,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-5426fbfe-6872-4df3-a018-5a96221d79a1,0
5.79,0.87,0.0,6.66,94171.09139514575,8.298880037298843e+19,150792.67767291516,1075454.3808917475,0.1402129930865878,5970466.369889651,8433205.553415548,0.0004,0.0002,38.0657,11.847185,True,True,818.983577657491,9.399536197632552,1.0213717664591968,1.223913620505482,11,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-0b0fedfa-fb55-4cfb-9932-ca2d22dce05a,0
8.37,0.75,0.0,9.12,345592.9010168631,1.1780128265300093e+20,229991.01796229713,1398037.3400507674,0.16450992500239328,9696956.591230918,12078767.505811814,0.0002,0.0,31.856559,11.798223,True,True,973.4212155453861,10.532172666862607,1.4867433477193117,1.1749053695239127,39,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-52f633ff-48c4-4f7b-9990-9be0181abb85,0
10.64,0.81,0.0,11.45,13548.786725108916,8.452210301011657e+19,188899.96524692053,995837.1764706498,0.18968960961710787,5399649.300248866,5254620.294990122,0.0,0.0006,41.509985,13.835962,True,True,700.273459777236,7.995868885517121,1.2647767383605242,1.3933633732609452,37,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-056f9e41-adbd-41d6-8078-4438307a3e28,0
6.65,0.51,0.0,7.17,68286.48736067206,9.913261801709597e+19,284608.17814313044,1957842.9453854025,0.1453682374339302,2537869.2002188447,4449154.554819323,0.033816,0.027994,51.723437,16.462705,True,True,942.2637508250773,4.302751729264855,1.1443505813367665,1.3293215920217336,40,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-6f545ae8-c958-46a0-aa39-cfc05a8775df,0
13.34,0.79,0.0,14.13,121819.46181263046,1.2057756842875258e+20,287673.97938830656,1504242.7452471477,0.19124172630863617,8317547.433890976,9117742.968076333,0.0002,0.0004,38.238112,13.698949,True,True,900.1597263850272,9.127753053233027,1.401683536823839,1.342724996805191,31,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-c1106902-09f6-4246-8de2-72703ed4f0ec,0
12.95,0.76,0.0,13.72,13116.069079852123,7.129020064234854e+19,161872.11384376438,791382.679426454,0.2045434125006115,5646070.570282871,5793865.851842574,0.0,0.0,42.889666,14.107954,True,True,721.4471893385053,9.898490828275682,1.1627127914689481,1.4890114737674593,21,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3146b230-f169-4f6c-a470-5e21418483c5,0
7.06,0.81,0.0,7.87,6883.5576757418685,5.332350516178598e+19,93254.77038089861,538883.8733109521,0.17305170000343992,4527558.2317814985,5065688.60023081,0.0,0.0,36.914969,12.144277,True,True,656.0399830341339,10.056772535294295,1.2027591820806265,1.2938534344546497,45,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-313f19f6-d833-4eaa-bf98-7e095652eb2c,0
7.8,0.58,0.0,8.38,30224.46242447912,9.795056667058985e+19,187435.4894378368,1475287.119416844,0.1270501768577271,4167125.5854845373,5420162.28769753,0.002195,0.004579,42.412141,12.980962,True,True,731.6749459132552,5.8259695574641235,1.1080240090377629,1.1980164690874517,42,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-679acb63-afdc-43ab-bb3f-3e96c6c34652,0
6.89,0.55,0.0,7.44,120132.85222840882,1.3017756077087618e+20,296910.0443712843,2218885.660307046,0.13381043002017434,4724101.570352378,7139040.851255569,0.009312,0.007937,38.292425,13.775192,True,True,910.5566130019724,5.598780336230993,1.4482721518725157,1.1487908340990542,48,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-7f0ee643-30a8-424e-aec9-ceced1b4724d,0
7.61,1.06,0.0,8.68,33318.7137860421,6.609630716249091e+19,59130.11878800399,751125.8123712866,0.0787219901301642,4144473.7605602765,5302507.107149673,0.0,0.0,27.896889,9.028007,True,True,638.3820837363601,7.0891855549067255,1.3030190747231245,0.9301085574552417,50,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-28d40b84-391b-46fa-b4f7-4310aa5dbcc1,0
7.59,0.72,0.0,8.3,48445.149279459554,8.119265928988677e+19,172283.11907551967,949774.543856426,0.1813937004207212,6491699.34388501,7797533.379997161,0.0002,0.0,40.659078,13.215746,True,True,808.259469922632,10.27891976237297,1.1219341456890106,1.3808063559234143,51,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-db705ff6-b780-4a97-a46c-cb8d9a460103,0
8.26,1.01,0.0,9.27,128645.04249476877,1.0933147651948365e+20,281287.11316522275,1601360.825827361,0.17565504827426548,6428867.922993526,8729731.31966501,0.0004,0.001398,45.351645,14.442979,True,True,927.8108119033277,8.406406394764781,1.0497336592525244,1.4248054326511919,47,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-c9c89c07-53c2-42c2-bca9-3ff516db51d1,0
