num_samples,rmse,nnrmse,r2,mape
5,0.07036104357985735,65.20839192620902,0.21858243007914135,416.7338779228943
10,0.011460018086105042,7.396440720793282,0.9792704805877056,46.84887452699361
15,0.010190579210919837,6.456724503500486,0.9836085880271264,36.490070277553016
20,0.00857125481899776,2.29379883091085,0.9884040204477793,10.035201782372267
25,0.0038578069360912614,1.453273962981274,0.9976509102668701,6.311451779098362
30,0.0036297834025723883,1.3948521647130068,0.997920398851933,6.07289124882335
35,0.0044600976401989725,1.5371556549309462,0.9968601611390057,7.712030170722777
40,0.00428162360355054,1.4851693679728737,0.9971064192975465,7.674274513064308
45,0.004367389621716063,1.4170065025392247,0.9969893345196489,6.525124237308227
50,0.00429377903100404,1.3733106842913174,0.9970899663624851,6.013950400247346
55,0.004403421018496178,1.3641996752172103,0.9969394530247333,5.924015389829371
60,0.00379477096362539,1.189750336270585,0.997727050612505,5.533300575199746
65,0.0022746100334383465,0.9698817245226743,0.9991833564644308,5.253664784013771
69,0.0021162316866234388,0.8911477262463253,0.9992931210431827,4.639864477075639
74,0.0021187012376969977,0.8697321078046657,0.9992914702860745,4.571149472799174
79,0.0020308233719839425,0.8322906796592213,0.9993490270638777,4.2055932471993245
84,0.0020090877941768624,0.8273451386403716,0.9993628870128963,4.071344689063711
89,0.0021232601531162394,0.8553520183262104,0.9992884178479173,4.100619860526646
93,0.0020921505721736523,0.8297615782207484,0.9993091170061651,3.931734333256719
98,0.0020833219792133644,0.8478802404396545,0.999314935569352,4.070798328858567
