sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
9.28,0.9,0.0,10.18,77590.84486847164,6.858905316331177e+19,102000.1162136184,804794.5901459426,0.12674055897309344,5643134.632190286,8312111.800300515,0.0,0.0,33.673535,10.577125,True,True,785.37821520766,10.181730202901587,1.0861959965666634,1.136591470056218,0,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-2924db18-de46-4c9c-a6a1-176c8fadbf37,0
9.52,0.83,0.0,10.36,0.0,3.9085185560605024e+19,61870.5402697447,325053.0527880968,0.19033982218920528,2950805.104187313,2185752.461890395,0.0,0.0,37.498662,12.979779,True,True,502.1743826323674,8.326472867640701,1.4016755881391976,1.3320427380463375,12,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-c2ec7c1d-347e-4b02-aadb-9d0d1a5af8e3,0
9.71,0.7,0.0,10.4,7509.698376660612,4.180417152080451e+19,34958.14247130394,443361.75586543075,0.07884789792720516,2809875.699941015,3677752.676383789,0.0002,0.0,31.677953,9.227355,True,True,553.530354230629,7.419598531582857,1.0104285515850495,0.9858027721755029,36,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e7e7a55d-9304-45a4-8e17-01f4b70b10ed,0
9.76,0.8,0.0,10.56,109032.91547885734,1.272421118647642e+20,314958.13390372606,1857746.561861008,0.1695377294027744,6664455.250700784,8443605.933913043,0.001398,0.0004,40.472959,13.889401,True,True,917.1144685878141,7.412068193711263,1.311290468178956,1.3027048926495621,56,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-f04a4cdd-9b91-4405-908d-b4d70499e09e,0
10.99,0.69,0.0,11.68,69615.37901680841,1.227321324819629e+20,285219.28271842364,1859945.9357380841,0.1533481577276276,5335745.328656866,6732759.275033671,0.002991,0.003786,40.170558,13.744512,True,True,835.9915665694098,6.18862823929015,1.3417273227939615,1.236971410700054,24,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-08ee6346-2d7d-4e8d-95c6-19f4ef58edbb,0
10.86,0.84,0.0,11.7,150630.92734981288,1.216799065191051e+20,88929.47287323861,2013379.240311385,0.04416926085891547,4930746.206382046,9976848.7030803,0.005569,0.008527,31.535338,9.544025,True,True,914.8607837330923,5.782467385010186,1.1467825299220025,0.8541379550949717,32,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-83a45942-ef30-4536-b20f-7b27a452e223,0
5.32,0.59,0.0,5.91,218589.4121631195,1.1317231641207867e+20,219921.5982144978,1584671.253884279,0.13878058157200449,7414725.019367753,11269309.990551684,0.0002,0.0006,38.171531,12.249222,True,True,989.4345195251569,9.062898887461904,1.0973311405083797,1.2106447759121932,41,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-a99c7cb7-43fa-4264-85f0-f2c94a7dd398,0
5.23,0.62,0.0,5.86,47560.190228714535,1.1319175082144422e+20,183405.6687991047,2125583.1978128627,0.08628486948326537,3077281.0892388355,5356110.391294879,0.022865,0.018838,41.483678,13.15986,True,True,844.2350343702353,4.293303114627573,1.2004016380542217,1.039320416481262,53,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-a4d2b50e-8321-4a17-a452-cb2a4472f94f,0
5.73,0.88,0.0,6.61,140524.96762296095,1.130936640667301e+20,230914.3946540842,1764834.4337565727,0.1308419590174059,5506067.944621174,8445481.294862991,0.002593,0.002593,41.140005,12.858929,True,True,902.6688581076917,7.02802718575416,1.0804769218528596,1.2076560522083175,19,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-2907475b-8b29-4e95-bd29-f8b4436783d2,0
12.1,0.32,0.0,12.42,260465.24052906004,1.149802706651816e+19,-1194.475215521587,134006.34355069176,-0.008913572177795764,1470869.729655727,15058407.50725362,0.0002,0.0,7.243037,1.606337,True,True,804.4374369619061,11.216150541791944,1.298056158115208,0.8196864922535942,54,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-507b858f-5c9a-433d-abb7-8e3a9eacc2f9,0
11.92,0.8,0.0,12.72,0.0,3.6154558884281262e+19,51021.57518689793,294671.2520179885,0.17314744766409473,2932718.428838729,2481812.264957609,0.0,0.0,33.740423,11.821124,True,True,512.1040964930456,8.959394627782103,1.425623983503851,1.232153811759964,34,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-69f2a564-17c6-423f-bb8f-011909e1bae7,0
4.93,0.75,0.0,5.67,23565.629183042685,6.6530531921402044e+19,99124.8174644882,764266.0350755336,0.1296993624146748,4430168.777081103,5305088.297787821,0.0,0.0,35.751681,11.20651,True,True,662.2872729965693,7.972568726774096,1.1458531731270643,1.1518997020525354,15,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-0f856067-5f37-4710-88b3-467f6212cc9e,0
12.71,0.8,0.0,13.51,15430.09476069434,5.18734675973186e+19,85670.23759807978,481251.6569434116,0.17801546521875847,4453853.01285284,4514205.052029881,0.0,0.0,33.285569,11.784914,True,True,627.928933983861,10.060177168148952,1.419560461776577,1.2399513789285943,8,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-56db8f88-0b06-440f-9c64-791015cde650,0
5.55,0.49,0.0,6.03,28413.83591785419,9.85176049445516e+19,166140.0634202954,1581883.2165062854,0.10502675651823964,3878698.0029741186,5594410.679044514,0.006359,0.004381,41.793276,12.473166,True,True,744.4578065685173,5.528485217037136,1.0075414784916972,1.1267943072056905,43,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-edf139fd-2ea1-448d-aa7a-37fbebf3ae8e,0
4.66,0.6,0.0,5.26,104423.62771584734,1.3070554229282596e+20,387867.43053735554,2234408.7155516716,0.1735883985046092,5044553.29447722,6958832.878714984,0.006162,0.002792,41.876019,15.359202,True,True,949.5667096145746,6.064038009936006,1.4810507019615553,1.3102584957895733,45,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-a2309ae2-adbe-4b4d-b107-b1b56de4cf60,0
7.2,0.75,0.0,7.95,4781.485291628158,6.857100840890068e+19,47780.09159719054,847188.8198666287,0.05639839723653632,2700614.7963985745,2683740.444451728,0.004777,0.004579,32.992681,10.320612,True,True,532.7861190952971,4.506598198566356,1.3310059682031734,0.9062670454276025,31,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-274e4169-6104-48d2-a5ff-dfa42e41e3f9,0
14.57,0.55,0.0,15.12,4034.668722875996,7.355837582515806e+19,105382.79266045662,1049885.074520353,0.1003755508274098,2615131.1158724627,2690047.9165090104,0.004579,0.005964,44.070779,12.876642,True,True,569.2176834271932,4.523341458878491,1.0858592976362005,1.125146121313771,26,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-0eb7bfb8-ea1e-4f20-af0a-8e91858df209,0
6.37,0.73,0.0,7.1,1942.1647821057823,6.190622057291271e+19,64717.714287713316,670043.339077512,0.09658735564301556,2947468.877007334,2486864.3366315053,0.001797,0.001597,33.86322,11.196846,True,True,521.833431544148,5.271955726336271,1.3661457338708196,1.0231358774080659,5,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-1ab9da1c-9a36-43a4-8c6b-165639af4212,0
4.91,0.8,0.0,5.71,18904.290393682135,4.594417212174019e+19,59277.07294033701,440174.2021219577,0.13466730365972993,4138262.404082504,5451858.025811636,0.0,0.0,28.266049,9.769282,True,True,647.5231137129142,10.373342954051155,1.3457122106224761,1.0779137772587655,37,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-642b86b8-37a7-4047-9a18-244c0ca6cdd6,0
15.82,0.76,0.0,16.58,46666.70002184559,4.689511040925909e+19,52523.24843823349,459609.2904236172,0.11427803904882633,4103045.3192092595,5789815.988898258,0.0,0.0,25.681842,8.965032,True,True,653.326836437239,9.975940240645494,1.3766470771422545,1.0025143558362035,46,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-97f7c934-e4eb-4f3a-a85e-e279a56099d7,0
5.94,0.88,0.0,6.82,80284.05535016429,1.2231074557175562e+20,343765.48816549656,2129312.29867082,0.1614443726174339,4384488.1716582645,6603910.466941472,0.006359,0.00892,45.155687,15.227361,True,True,945.1906510530996,5.667546357399371,1.2831623270034456,1.3201089427597372,29,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-89aa40f3-50a9-4376-868d-419136bbc479,0
