num_samples,rmse,nnrmse,r2,mape
5,94539.32231663889,1378.4893536850059,0.06659663604478805,171.71960846876823
6,67341.21995401193,2342.4112763175203,0.5264058254877734,322.31560964031576
7,49878.82653382913,1077.9377963077134,0.7401774461700581,147.73175905059932
17,31801.976357507545,1101.625675512963,0.8943784314370594,124.45513949781119
27,12512.905668914016,589.110200675945,0.9836483819841169,111.48611962146127
37,7986.629895937024,752.9161565779209,0.9933385079942134,114.77230130018387
47,8022.668588892622,1348.8811990793172,0.9932782540160636,145.779135088115
57,8166.15663228861,1327.1303765051555,0.9930356625941903,158.6638899258406
67,8389.327678837477,1373.6378354026392,0.9926498075943451,164.54255537603638
77,8137.444825000353,1193.6666229173404,0.9930845490410088,161.35176856265468
87,7773.8642999475705,887.920982755522,0.9936887075797015,132.68798008275408
97,7104.558447090356,732.8514232721833,0.994728689787043,114.40312345634673
107,7081.340185963443,802.3415775247557,0.9947630876083075,117.76387631200885
117,7345.03096264483,1159.3671121121718,0.9943658078549457,135.19428566546674
127,7488.278328585697,1048.3740932674568,0.9941439018323706,136.04982311722534
137,6883.76662732925,885.4139412912915,0.9950512368467727,120.12797313640888
147,6877.128620323854,871.273749855086,0.9950607764165134,117.93602247721073
157,7572.338085802358,665.9637998251252,0.9940116884941333,92.95034393456739
167,5411.065986570871,473.86343643136286,0.9969421931289222,72.7169364221216
177,5713.590615519291,415.30336712119555,0.9965907203112949,71.50027695651517
187,5970.387568013678,420.22643028776923,0.9962773737053573,77.43575758714944
197,7434.7634127436295,602.8106733003311,0.9942273038568278,101.53817456065717
