num_samples,rmse,nnrmse,r2,mape
5,48760.938242588556,1708.7802683908367,0.7516932650942969,266.69193359772623
10,55635.6848956162,1246.0555192238953,0.6767405203293477,206.49449786990493
15,39297.27479303592,1085.913950750001,0.8387241796898122,174.65966808619427
25,27129.847139765076,695.8856139463243,0.9231331497242496,116.49690378618989
35,13879.2780895913,678.1099875171268,0.9798823083600113,94.53565056756948
45,12281.63306617971,809.401186874753,0.9842472410290058,104.2210581742617
55,13568.666121634373,1017.3804695732468,0.9807726822164895,120.17343690141962
65,12236.197662148237,1294.2218391077151,0.9843635788241583,108.31817734176465
75,14959.759818373037,1206.4754555266968,0.9766281207500295,131.78871697071793
85,10441.771205857189,663.2572768423817,0.9886134347813497,129.99483693618
95,10039.976426843261,605.8697085392907,0.9894728750369057,114.58844514212574
105,9715.648469526526,708.9957276117851,0.9901420189787651,120.39038552282881
115,10674.607899458582,2366.616001399023,0.988099964555198,126.14316049234682
125,10995.048082436677,2453.259855295514,0.9873747886264777,122.40967548607958
135,10536.937735781597,2448.193698551938,0.9884049341456193,124.58426856157183
145,10090.506452888147,2353.089986953456,0.9893666448105696,119.12711837331098
155,9614.092388441188,2442.8636983849015,0.9903470295980268,120.88650990346999
165,9593.503837592723,1737.750756854,0.9903883289454126,105.01448828915166
175,9142.140063202134,1732.2114118890174,0.9912714896065569,105.9657609407359
185,9102.227556077072,900.8422335765254,0.9913475366292496,101.86317023860336
195,8903.769129797525,998.8605246402204,0.9917207275772806,105.81622727299971
