num_samples,rmse,nnrmse,r2,mape
5,0.05024899841943592,22.344561781410572,0.6014585955445562,115.86991058048659
6,0.04844720158259701,19.718774080546854,0.6295274623404759,86.94304954791488
7,0.012869064112789902,4.634794228932287,0.9738595802735701,21.159764025523103
8,0.01113341989693536,3.742114403743414,0.9804351823199985,14.839315899647797
9,0.011871329353165868,6.545051030643777,0.9777557721142364,34.053978347861616
10,0.005510946273173625,2.1727812738833534,0.9952062985625344,11.030697082590104
11,0.004278725607765748,2.2171381878376755,0.9971103349835497,12.288468591637516
12,0.0036472615261423855,1.8841888948038383,0.9979003232539938,10.613904904056643
13,0.003275953616309138,1.448096581168148,0.9983060752419108,7.705051616433894
14,0.0033853621964009613,1.474705164019516,0.998191040232226,7.7672592209905895
15,0.003281191044896245,1.5134289998965686,0.9983006545901603,8.491743857969658
16,0.003235953426863723,1.50311745287409,0.9983471891601786,8.501069030440021
17,0.0032470389444401197,1.706254270966733,0.9983358455808372,9.722717488126424
18,0.0032505321107650807,1.7227006339672541,0.9983322630583108,9.756896523534694
19,0.002745026512519381,1.4152768707878856,0.9988106444202695,7.837275356250563
20,0.0027288024471383513,1.4131634664612005,0.9988246618871388,7.844809460206326
21,0.0027116462006282413,1.4082128904900666,0.9988393943590155,7.869629958773949
22,0.002350400749414304,1.1120282121516134,0.9991280281567216,6.708008973016004
23,0.0026431522244219413,1.5464197726419102,0.9988972857697859,7.566082615637009
24,0.0026482557920505696,1.5643954421684987,0.9988930232760613,7.68271989422192
25,0.002646228235272931,1.559129369785899,0.9988947176735326,7.64635720242925
26,0.002860934120866961,1.8840321864856473,0.9987080838053872,9.554207003049136
27,0.0028154117190943924,1.850498674697716,0.9987488699488669,9.286844055091853
28,0.002426607072865594,1.3429847186270936,0.9990705681609426,7.396702677237229
29,0.0024172235304260195,1.328115955075295,0.9990777423760949,7.294487053972774
30,0.0024040279191499692,1.3028463139649824,0.9990877840918384,7.135277972740184
31,0.0025404740764070903,1.337670572884829,0.9989812956448992,7.240082491416844
32,0.0025439259028300987,1.3179030581422992,0.9989785254693945,7.07040969864231
33,0.0024168913648630673,1.0573528452151024,0.9990779958248727,5.104918783911812
34,0.0023775179301832377,1.0269746075660746,0.9991077917610732,4.99932219887482
35,0.0022114304340593105,0.9934414809476447,0.9992280926222917,5.0973084626381695
36,0.0022450396064507923,1.0327427244282843,0.9992044515355133,5.439361698818783
37,0.002301169421855299,1.1121843768695951,0.9991641741157076,6.288879031154251
37,0.0023011698442701803,1.1121848593879542,0.9991641738088503,6.288883662323981
38,0.0022529655180318726,1.420820203077597,0.999198824394524,7.9114914423904805
