success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
True,50.982076,15.230577,0.082737,0.083242,0.0016969799995422362,20.21866521437963,722.136695869267,2.6996003776788715,1.1041538561694324,1.0234636875800789,15,/tmp/ShineRunner-a9caef0d-b494-45a7-87d3-c9e0b38a208d,0
True,58.328774,19.371867,0.191723,0.17519,0.00144805908203125,20.23474599123001,710.0148764438927,1.8304533775895835,1.349187029991299,1.1364339599385858,63,/tmp/ShineRunner-6eda8cb9-025a-4332-907d-d2a410d1326d,0
True,52.848593,16.194483,0.112846,0.105546,0.0013657768567403158,20.56396758556366,904.5441243797541,2.9376990925520663,1.0761400260962546,1.0987254671752453,50,/tmp/ShineRunner-74ec3330-c560-46f8-b50a-b21a6fda01af,0
True,50.586023,14.91336,0.027616,0.02856,0.0011551499366760254,20.85764080286026,691.0532908514142,3.693305325135589,1.0501476642675698,1.1874112439341844,32,/tmp/ShineRunner-d645b551-5d1f-4980-aafa-7aa05f942828,0
True,40.554826,13.70709,0.06209,0.06068,0.0010052204132080078,20.8585644364357,843.7725063413382,3.2272142283618455,1.3672151626087725,0.9252898198552431,38,/tmp/ShineRunner-5387ecf6-7341-419c-bb76-73b993e006aa,0
True,47.25638,14.583837,0.0242,0.020568,0.0013125777244567872,21.171403125921884,628.1699873507023,3.5907123204320675,1.2251355154439807,1.1471249909140169,8,/tmp/ShineRunner-ac468635-b41c-4af9-bd88-41339610ff00,0
True,31.987658,10.536661,0.017102,0.012053,0.0011834502220153809,21.239517041047414,715.5147371813655,4.183219078183174,1.403206383343786,0.8374196792021394,0,/tmp/ShineRunner-71da0ef0-939c-47a0-8319-40e21297bd31,0
True,41.978522,12.379497,0.041595,0.039201,0.00045283238093058267,22.206546592712403,571.2972595356405,2.8584815654903655,1.2151452954858541,0.8565249652601779,44,/tmp/ShineRunner-e43e8146-73bc-4f64-9ec8-199aa29642ab,0
True,58.920864,21.60142,0.51,0.51,0.0007350007692972819,22.704896414279936,907.810103148222,1.1897491466253998,1.4332992141135037,0.9344283697195351,61,/tmp/ShineRunner-a17ece8e-58c4-479f-ba38-094a84429520,0
True,42.411834,14.999837,0.048344,0.041778,0.0005141258239746094,22.70519164005915,678.9820319972932,3.1393734306097034,1.4782711658626795,1.0303972464054822,56,/tmp/ShineRunner-6a4ea0b4-7e2a-492b-ada0-e38220840ba1,0
True,63.136107,20.188091,0.51,0.51,0.002802614370981852,22.792969210942587,896.366452332586,1.148898358643055,1.17628783127293,0.8754646308720112,13,/tmp/ShineRunner-97285fb6-1cef-444d-9c46-79802920a1d9,0
True,52.744011,17.121733,0.063495,0.059797,0.0008043845494588217,22.96963387330373,742.0448032207787,3.0453909605741503,1.3090207404457033,1.2569628797471524,16,/tmp/ShineRunner-371961ba-c6a3-48c7-91b6-45f6ef1f1e3a,0
True,57.907265,18.944399,0.055356,0.045619,0.001193078358968099,22.995596325397493,591.489739716053,2.645943281427026,1.385283175855875,1.4180904110893606,51,/tmp/ShineRunner-e4c8bcb1-82cd-44f9-aa1e-1a313ad8c0f1,0
