num_samples,rmse,nnrmse,r2,mape
5,82757.11923397511,7347.890236411663,0.2847545214327174,944.1560958374605
6,96132.77663895563,7581.3571835269595,0.034866556705577034,998.0061925012822
7,102949.24014647109,10323.796875142556,-0.10685487719555953,1188.8170327820092
17,15762.508374248971,1121.7550487890308,0.9740525279577604,99.55535526242186
27,12327.111181073473,735.1168697574368,0.9841303620795552,83.11497943156823
37,10462.501440936636,745.00925206361,0.988568177998297,93.29752419898065
47,7755.211839071654,500.89612523056985,0.993718957633341,86.04107085882617
57,7784.745188737901,596.5481259089865,0.9936710276902949,93.82727747994453
67,6517.10655400455,619.2815793695519,0.9955643830386446,81.16161202031138
77,5883.763438907762,560.1173695792415,0.9963846129456624,73.38242176434315
87,6680.140049798299,387.0719954606322,0.995339682266432,58.457780382921555
97,6018.3533348612655,303.83806688699224,0.9962173186794564,55.55477203645985
107,5526.374951695494,308.2409995600572,0.9968104817831032,50.25795074824009
117,5441.426649849576,280.1481347035862,0.9969077830913282,49.88221505367312
127,5593.69399165422,530.1848037395367,0.9967323028416544,57.553912239712304
137,5759.992186298358,779.6305979939951,0.9965351201401101,74.30013269862322
147,5473.195385808457,758.8994098302153,0.9968715710482614,72.00450541236373
157,6115.019458814052,800.0886733887471,0.9960948287912336,94.20053097251922
167,6613.868041513052,1134.7996108097325,0.9954316912985791,111.10846231839666
177,5809.834883441443,953.2555638016338,0.9964748956966798,94.38061121415487
187,5894.628325961583,934.813788202275,0.9963712483567864,94.39579028989054
197,5796.870619658646,1028.5334176456913,0.9964906102201628,94.73341170091804
