success,current_drive_A,enbi,nbar,np,hfactor,run_dir,batch_num
True,255235.57884101692,720.7865316442545,5.142665918768982,1.1555366472476802,1.3414349238757617,/tmp/csv_runner-6edcbfdf-2630-416c-b650-0cf3001aea89,0
True,181531.74971830615,833.0342663574324,4.202987257519547,1.119732845853275,1.0731337140220192,/tmp/csv_runner-5e7f6403-f838-4084-9a8e-6dfdb9bb1713,0
True,162570.3502990105,747.26792823681,4.956045221684715,1.4263894746934147,0.9972419340707392,/tmp/csv_runner-7c9c57da-0a2b-47f0-bb67-7fa3e6bfcf52,0
True,85616.5427055581,775.7509591346583,8.363092605653526,1.1506474431906963,0.9762167003137292,/tmp/csv_runner-e00e1533-78e3-4ebe-8e16-f47b676bef62,0
True,69863.25853975865,517.3111726363709,6.082911098557858,1.209338212414482,1.1591147623322835,/tmp/csv_runner-ad3040ba-e399-4981-8d6a-0e00c8d8bf66,0
True,257951.6693735473,720.7865316442545,5.142665918768982,1.1555366472476802,1.3414349238757617,/tmp/csv_runner-40ad5a5d-5c6b-476d-b9c8-79c127cd74b4,0
True,182281.704730155,833.0342663574324,4.202987257519547,1.119732845853275,1.0731337140220192,/tmp/csv_runner-40f85a78-b5f9-4fc4-89b4-9e458766f75b,0
True,163197.17654690918,747.26792823681,4.956045221684715,1.4263894746934147,0.9972419340707392,/tmp/csv_runner-ce90c1e5-5b4b-4d97-9cf5-26b358237ade,0
True,83889.93952526369,775.7509591346583,8.363092605653526,1.1506474431906963,0.9762167003137292,/tmp/csv_runner-54cdad0d-735b-4fc4-90d8-f99861281758,0
True,70744.16265690747,517.3111726363709,6.082911098557858,1.209338212414482,1.1591147623322835,/tmp/csv_runner-63fc7917-31ba-418d-bb02-0d08e8a8c13f,0
True,257844.00493641687,720.7865316442545,5.142665918768982,1.1555366472476802,1.3414349238757617,/tmp/csv_runner-52fb3249-7b00-4e88-8e00-73296213ce95,0
True,181587.16447286733,833.0342663574324,4.202987257519547,1.119732845853275,1.0731337140220192,/tmp/csv_runner-74db25c5-af9b-4d34-a2a0-3e29a423a138,0
True,161929.26238206876,747.26792823681,4.956045221684715,1.4263894746934147,0.9972419340707392,/tmp/csv_runner-7f6accff-3479-4478-baa6-b8c9b0469b97,0
True,84119.51295699319,775.7509591346583,8.363092605653526,1.1506474431906963,0.9762167003137292,/tmp/csv_runner-2bd2bff6-0155-4c36-8dcb-5048af0074d2,0
True,70823.2395340238,517.3111726363709,6.082911098557858,1.209338212414482,1.1591147623322835,/tmp/csv_runner-02cc943f-4090-41d5-ba6b-93e52d509db1,0
True,255675.3894656299,720.7865316442545,5.142665918768982,1.1555366472476802,1.3414349238757617,/tmp/csv_runner-bb59a3f4-1bf3-40fc-abd9-c792aa0c879c,0
True,182128.5318489988,833.0342663574324,4.202987257519547,1.119732845853275,1.0731337140220192,/tmp/csv_runner-20028930-ddd6-45c3-9e69-62b0841b6b74,0
True,164708.18709093143,747.26792823681,4.956045221684715,1.4263894746934147,0.9972419340707392,/tmp/csv_runner-a8d58660-527c-40c9-b929-9aebdc98b3c8,0
