num_samples,rmse,nnrmse,r2,mape
5,78086.92958781116,7207.30071525119,0.3632028880479069,885.821135941789
10,35583.04115304805,1415.1130030528295,0.8677698416966134,201.86607821399062
15,25354.66988873465,815.0497562705125,0.9328632501100119,151.92308471375813
25,17857.032202504135,2228.452760430685,0.9666985644261358,165.38390747005027
35,15440.066594106793,1112.3487989803757,0.975103245873659,196.44805974120663
45,12839.914879749567,851.707850954783,0.9827825559105661,141.94285318800158
55,11443.634104855393,755.1363432393782,0.986323583484244,99.98371816478137
65,10942.906923744218,940.3907693697726,0.9874942482691675,99.78468761839012
75,9302.870578266404,1192.508784091418,0.9909618748591474,99.71680495323504
85,9171.88540556817,1039.1968020467907,0.99121459813363,103.1104954408236
95,8667.428530726462,1491.7605405449945,0.9921544222507653,111.53711103112656
105,8084.030687078104,1258.5637662700392,0.9931750370371428,112.29924532941757
115,7151.618236155713,1192.8142069099176,0.994658625382178,107.49435952187976
125,7463.157359206505,1148.6923833733285,0.994183126898397,97.3604625150534
135,8079.33274811032,1115.0312784906853,0.9931829672254624,89.54153112741048
145,7993.914553322737,452.81490817250545,0.9933263504713717,66.97905519432139
155,8297.862918231292,414.4663707255214,0.992809205063092,91.2529789915335
165,7736.498789049987,343.75111773176957,0.993749232925771,70.49456026371999
175,7488.210584606065,459.5472454178391,0.9941440077882614,79.60274907995503
185,7245.820607789293,432.3680127327238,0.9945169835710794,69.3890854228254
195,7437.405389718989,609.5326212055639,0.9942232004202384,83.86222539884373
