num_samples,rmse,nnrmse,r2,mape
5,73207.11274592795,345.02897506281676,0.4403056153501935,125.45714586467108
6,79074.24924074631,475.9788465990686,0.3469979471424237,167.4945636011226
7,55363.84520938233,1567.1062850093672,0.679891737923485,223.67929864827323
17,17247.17008514743,395.39173138996847,0.96893437578293,69.64234970343853
27,12497.154791658239,587.2693145703897,0.9836895219456042,82.97502732686111
37,8495.545087696402,561.258049492981,0.9924625075469751,78.94198474001024
47,8434.460458168976,929.0437933752606,0.9925705099545176,92.96315034753125
57,7172.719098355783,782.1085788078906,0.994627059412619,83.90241675370272
67,7086.447260984742,599.0154085380002,0.9947555311435304,77.63776297873427
77,6257.310282209517,770.0426451033677,0.9959109749234576,79.13750181648722
87,6062.101197478597,720.4634548446071,0.9961621256151345,80.22086989522901
97,5841.455939354376,570.4700229577354,0.9964364192637406,74.87027635808775
107,5857.707863352857,557.2933403576436,0.9964165627044714,74.17074287804522
117,6020.882786226983,320.0915276390726,0.9962141383679698,54.00398960789745
127,5784.172961291151,252.86926863270926,0.9965059675505015,46.6354415300978
137,5618.953920579097,296.0490592690673,0.9967027237589702,48.46758701352679
147,5577.676938532649,344.7302203764433,0.9967509895789515,52.70965508663061
157,5292.094027964438,500.7035295958626,0.9970751776279753,69.21440237181974
167,5201.178173856029,490.98244475738517,0.9971748087345634,67.444272385228
177,5125.844772006701,531.3060469698767,0.9972560556933323,68.0610907700643
187,5156.468356641509,600.2328273218144,0.9972231711933279,72.15149018978357
197,5809.997312242941,411.3453038584717,0.9964746985873014,73.87310276255079
