success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,bbnbi_n_markers,index,run_dir,batch_num
True,64.165598,20.526499,0.375,0.444444,0.0003712018330891927,6.857213207085928,10,20,/tmp/ShineRunner-ad4b4da0-e1c8-4c20-9f24-b11ab37cdcc0,0
True,64.165598,20.526499,0.180328,0.180328,0.00042590697606404625,6.786812937259674,100,66,/tmp/ShineRunner-f19e207c-99fa-4d9c-a5e9-d35bc9391ca0,0
True,64.165598,20.526499,0.180328,0.180328,0.0004543383916219076,6.794753487904867,100,36,/tmp/ShineRunner-0f3bf254-5a7e-4517-b273-5757fc870290,0
True,64.165598,20.526499,0.166667,0.166667,0.0005577882130940755,6.795576663812001,10,50,/tmp/ShineRunner-fb334eb0-37e0-4027-9f88-2543241e7e17,0
True,64.165598,20.526499,0.285714,0.444444,0.0005002339680989583,6.797270588080088,10,40,/tmp/ShineRunner-ad7a2bc5-e617-4a7d-9c5f-43a772498b4a,0
True,64.165598,20.526499,0.375,0.444444,0.001179186503092448,6.807795763015747,10,70,/tmp/ShineRunner-c22aeb64-99e2-447e-a0ce-06b8fdfb711b,0
True,64.165598,20.526499,0.21875,0.324324,0.0017001867294311524,6.816220025221507,100,56,/tmp/ShineRunner-7c3728fa-d37b-4f1e-a6b8-3dc6d51f726a,0
True,64.165598,20.526499,0.285714,0.444444,0.0013724128405253092,6.816613217194875,10,60,/tmp/ShineRunner-b85fe7ab-92c6-4f89-a939-fd4d8a34cbea,0
True,64.165598,20.526499,0.21875,0.324324,0.0015963037808736165,6.802011549472809,100,76,/tmp/ShineRunner-bf31f641-de82-4619-b795-30f71b5dbede,0
True,64.165598,20.526499,0.295775,0.152542,0.0016677379608154297,6.903311816851298,100,6,/tmp/ShineRunner-a06a7256-c07b-437d-a5f4-816b6b56933f,0
True,64.165598,20.526499,0.264706,0.21875,0.0010894378026326498,6.8878702561060585,100,26,/tmp/ShineRunner-9f7dc9c1-6740-47f7-9874-d4b3af52ea28,0
True,64.165598,20.526499,0.253731,0.21875,0.0014989336331685385,6.823632685343425,100,46,/tmp/ShineRunner-765f4be2-8aee-4a5f-8a37-f7a9f757dd24,0
True,64.165598,20.526499,0.253731,0.21875,0.001105169455210368,6.798942037423452,100,106,/tmp/ShineRunner-0764c296-ad70-4bfc-8647-2e69fd3fe0c8,0
True,64.165598,20.526499,0.264706,0.21875,0.0014967719713846843,6.804529658953348,100,86,/tmp/ShineRunner-db5d99c6-6f39-4f17-b2b6-eefaa2b4b658,0
True,64.165598,20.526499,0.166667,0.166667,0.0010191082954406738,6.807312182585398,10,80,/tmp/ShineRunner-f651618a-963c-4d57-8d21-d6d55ffd3e3b,0
True,64.165598,20.526499,0.193548,0.285714,0.0018043597539265952,6.8037324468294775,100,96,/tmp/ShineRunner-b8f3113a-68f7-4f29-8565-10af4648c6b6,0
True,64.165598,20.526499,0.0,0.166667,0.0022568424542744954,6.911735089619954,10,0,/tmp/ShineRunner-445c4164-8c80-4946-ac52-ed0d98177f79,0
True,64.165598,20.526499,0.265786,0.269006,0.0012427250544230144,6.909922277927398,1000,12,/tmp/ShineRunner-7e298b1a-55cb-40b1-a633-0a4b3c46bcce,0
True,64.165598,20.526499,0.234303,0.233129,0.0012698968251546223,6.896654669443766,1000,22,/tmp/ShineRunner-33321c4e-e094-4e42-ae19-9f10e54d813b,0
True,64.165598,20.526499,0.375,0.0,0.0006943702697753906,6.903133455912272,10,30,/tmp/ShineRunner-30e61176-ed4d-4b88-b44c-3d7ef07f8941,0
True,64.165598,20.526499,0.0,0.285714,0.0009935498237609863,6.818914175033569,10,90,/tmp/ShineRunner-45bc6097-14ae-4145-b993-c8c7c154f066,0
True,64.165598,20.526499,0.0,0.166667,0.0010634144147237143,6.81831994454066,10,100,/tmp/ShineRunner-0c5aa10e-a6b4-4474-8021-f80ffc759eb8,0
True,64.165598,20.526499,0.5,0.545455,0.00201116402943929,6.949114815394084,10,10,/tmp/ShineRunner-9ab325d9-12a8-44ee-9be9-8dc79633def8,0
True,64.165598,20.526499,0.240122,0.222395,0.002780481179555257,6.876026093959808,1000,62,/tmp/ShineRunner-77387bc8-c1f9-4740-94b4-0c69176fe993,0
True,64.165598,20.526499,0.24357,0.249249,0.0024221022923787434,6.889684800306956,1000,42,/tmp/ShineRunner-4277e249-71ee-4473-a389-45e50a4d9464,0
True,64.165598,20.526499,0.240122,0.222395,0.001321113109588623,6.8912890513738,1000,52,/tmp/ShineRunner-897fe8b8-b378-4284-83ea-11163fea0c0b,0
True,64.165598,20.526499,0.25816,0.229584,0.0021827658017476398,6.889944465955098,1000,72,/tmp/ShineRunner-cc6dee89-748c-480d-8834-433baabe1248,0
True,64.165598,20.526499,0.260355,0.237805,0.0018694599469502766,7.004457135995229,1000,2,/tmp/ShineRunner-6bf3cf48-fae0-4911-97b3-84f60017f9f3,0
True,64.165598,20.526499,0.25816,0.229584,0.0018003424008687337,7.006878972053528,1000,32,/tmp/ShineRunner-380cc102-5120-4ed1-9ebe-3705ded5b8e0,0
True,64.165598,20.526499,0.240122,0.222395,0.001990671952565511,6.921869619687398,1000,82,/tmp/ShineRunner-53b79471-1e45-4b36-ab9f-7eb15936b67a,0
True,64.165598,20.526499,0.245852,0.260355,0.001403045654296875,6.9198414047559105,1000,102,/tmp/ShineRunner-e4b99e2b-3be0-4484-b320-68cfe2fbb334,0
True,64.165598,20.526499,0.285714,0.242424,0.0017818848292032877,7.033071458339691,100,16,/tmp/ShineRunner-c7422d68-b5c5-4fd9-b2a7-e7b09a095c03,0
True,64.165598,20.526499,0.242424,0.224806,0.002173042297363281,6.956892959276835,1000,92,/tmp/ShineRunner-d4a171d2-f2d7-41fb-8bd5-8c66c9964b85,0
True,64.165598,20.526499,0.250824,0.243112,0.0011593937873840333,7.957988083362579,10000,38,/tmp/ShineRunner-c4f75f46-1a09-4f06-b32f-a2d55663230d,0
True,64.165598,20.526499,0.256727,0.236525,0.001140749454498291,7.9925702253977455,10000,48,/tmp/ShineRunner-62173e96-cae3-4649-812f-74bad22d4804,0
True,64.165598,20.526499,0.248685,0.249362,0.0008990645408630371,8.111753058433532,10000,8,/tmp/ShineRunner-10a6f857-36fc-443c-ae4d-a1325174b611,0
True,64.165598,20.526499,0.247668,0.241505,0.0017441511154174805,8.03182512919108,10000,58,/tmp/ShineRunner-20b82553-8cce-48b2-bbb7-d4506a21088a,0
True,64.165598,20.526499,0.247668,0.241505,0.0016524831453959147,8.02780077457428,10000,68,/tmp/ShineRunner-8364092e-d9c5-4136-8553-1f20e0199e47,0
True,64.165598,20.526499,0.247668,0.241505,0.001501011848449707,8.10015941063563,10000,28,/tmp/ShineRunner-fa8245bc-62e8-44c9-9d06-cb23f1afa302,0
True,64.165598,20.526499,0.256727,0.236525,0.0010119120279947916,8.041834191481273,10000,108,/tmp/ShineRunner-9499aa5f-0d05-4e82-96be-430cf1401b36,0
True,64.165598,20.526499,0.253062,0.234069,0.0012382666269938152,8.042841271559398,10000,98,/tmp/ShineRunner-dd950533-2bda-49bf-a25e-aab6a836d96d,0
True,64.165598,20.526499,0.256727,0.236525,0.001128073533376058,8.046613625685374,10000,88,/tmp/ShineRunner-c555e385-8c82-4448-a925-96147fbf12ab,0
True,64.165598,20.526499,0.251721,0.235474,0.0010081013043721518,8.048025314013163,10000,78,/tmp/ShineRunner-f36303bd-8a4b-4944-a766-1717e552b662,0
True,64.165598,20.526499,0.261884,0.240699,0.0008556683858235677,8.207267141342163,10000,18,/tmp/ShineRunner-450e8905-f6f1-4a01-9756-6bf842554cf0,0
True,64.165598,20.526499,0.295775,0.275362,0.0004848917325337728,5.697173118591309,100,51,/tmp/ShineRunner-e41ea588-f976-4947-bce4-932d2a9f8474,0
True,64.165598,20.526499,0.315068,0.295775,0.0005430221557617187,5.674114100138346,100,71,/tmp/ShineRunner-8683f7f9-f574-43d3-af74-cd9c312e79b1,0
True,64.165598,20.526499,0.242424,0.166667,0.0004629929860432943,5.708099218209584,100,21,/tmp/ShineRunner-ebea7393-071c-48db-b449-86b2f0e0e74f,0
True,64.165598,20.526499,0.224806,0.24357,0.0004996975262959798,5.708579973379771,1000,67,/tmp/ShineRunner-0747189f-1279-4b58-8bf6-a1850bfa7cf8,0
True,64.165598,20.526499,0.253731,0.230769,0.0005070924758911133,5.679353467623392,1000,7,/tmp/ShineRunner-ea0ff7fc-6eb7-4a1c-9108-49cf2624120e,0
True,64.165598,20.526499,0.241275,0.266862,0.0005231142044067383,5.687072459856669,1000,57,/tmp/ShineRunner-1f1ee5f0-70f0-4f6c-8df2-be5d5edc519f,0
True,64.165598,20.526499,0.180328,0.242424,0.0006046692530314127,5.6787655035654705,100,81,/tmp/ShineRunner-b35fa62b-4847-49a3-a589-5c7dfe14736a,0
True,64.165598,20.526499,0.269006,0.251497,0.0005471269289652506,5.684451373418172,1000,107,/tmp/ShineRunner-98f3fc18-7e5e-4cb9-8427-4f8af1cf27c4,0
True,64.165598,20.526499,0.180328,0.180328,0.0005801916122436523,5.716346911589304,100,41,/tmp/ShineRunner-fdde4f0d-5d27-45f9-9221-bf88813bacad,0
True,64.165598,20.526499,0.262537,0.261448,0.0005829135576883951,5.689001556237539,1000,47,/tmp/ShineRunner-0db8d151-f525-4718-a847-2f17d2310509,0
True,64.165598,20.526499,0.230769,0.315068,0.0005829373995463054,5.686825136343638,100,1,/tmp/ShineRunner-47389a17-bb21-4247-b4bb-0994f5e846bd,0
True,64.165598,20.526499,0.21875,0.295775,0.0006336530049641927,5.684732913970947,100,31,/tmp/ShineRunner-1b7c3dbc-c1a5-4b2e-be63-1298c3533a73,0
True,64.165598,20.526499,0.305556,0.285714,0.0005270799001057942,5.70326335032781,100,61,/tmp/ShineRunner-717aab35-d836-4f22-9e3f-4b4ae141b50d,0
True,64.165598,20.526499,0.295775,0.253731,0.0006478706995646159,5.681788365046184,100,101,/tmp/ShineRunner-2d3168dc-0655-499d-a59c-33dc7f479704,0
True,64.165598,20.526499,0.333333,0.295775,0.0006438732147216797,5.684732004006704,100,91,/tmp/ShineRunner-5aca9197-26c7-4349-af28-3dbde5792262,0
True,64.165598,20.526499,0.252616,0.264706,0.0005803346633911133,5.706883478164673,1000,27,/tmp/ShineRunner-09f7753c-e4de-46e4-bd54-d5a7e51487e6,0
True,64.165598,20.526499,0.273256,0.212598,0.0006461222966512044,5.702955985069275,1000,97,/tmp/ShineRunner-e0069101-5a0d-4602-a19a-a1131bf4494a,0
True,64.165598,20.526499,0.222395,0.250375,0.0006667653719584147,5.710202165444692,1000,87,/tmp/ShineRunner-47c28c7d-4554-4399-a726-c5a00cfa78c9,0
True,64.165598,20.526499,0.269006,0.230769,0.00057373046875,5.766018064816793,1000,37,/tmp/ShineRunner-e581ebef-daaa-4a42-a36d-ad0ae7447e85,0
True,64.165598,20.526499,0.24357,0.227202,0.0005331079165140788,5.764761793613434,1000,77,/tmp/ShineRunner-821ef43c-d10e-4833-b1bc-c3e7cb10bfac,0
True,64.165598,20.526499,0.193548,0.230769,0.0004729827245076497,5.7326690276463825,100,11,/tmp/ShineRunner-509d27e7-2d12-458a-9c1f-1e4d1bf5039b,0
